Product_Name,Category_Type,Sale_Price,Original_Price,Discount_Percentage,Rating,Review_Count,Stock_Status,Available_Colors,Tags
Regal AI Smartwatch,Smart Watch,24999.0,39999.0,38.0,4.93,107.0,In Stock,"Copper Silver, Emerald Black, Racing Red Silver, Opium Black, Obsidian Gold, Rose Gold, Aqua Silver, Emerald Silver","Clearance, Hot deals, Influencer Video, lifestyle, luxury, Monsoon 1000, platinum series products, pre-order, smart watch, smart watch price, smart watch price in pakistan, smartwatch, vision-2025"
Icon Smartwatch,Smart Watch,6999.0,16999.0,59.0,4.81,197.0,In Stock,"Jet Black, Rose Pink, Space Blue, Red Berry, Silver Grey","10 10 Sale, Clearance, Hot deals, icon, sale"
Pulse Earbuds,Earbuds,4499.0,14999.0,70.0,4.72,50.0,Out of Stock,"Blue Coffee, Red Champagne, Ivory White, Warm Gray, Black Gray, Gray Black","earbuds, pulse"
Zero Aura Earbuds,Earbuds,3999.0,10999.0,64.0,4.89,549.0,In Stock,"Black, White, Blue, Green","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, Funday Sale, Hot deals, sale"
Atom Pro Earbuds,Earbuds,4499.0,15999.0,72.0,4.77,77.0,Out of Stock,"Snow White, Jet Black, Space Blue, True Blue, True Purple","atom, earbuds, Hot deals, lifestyle, sale"
Jaguar Smart Watch,Smart Watch,7499.0,22999.0,67.0,4.71,48.0,In Stock,"Black Metal, Starlight Silver Metal, Blue Metal, Black Orange, Blue Orange, Gray Orange","Hot deals, Influencer Video, Jaguar, smart watch, smart watch price, smart watch price in pakistan, smartwatch"
Gravity Earbuds,Earbuds,3499.0,14999.0,77.0,4.82,5056.0,In Stock,"Midnight Blue, Carbon Black, Pearl Pink, Soft Lilac, Ice Blue, Olive Green","10 10 Sale, earbuds, Experience at Zero, gravity, Hot deals, jinnah-sale, sale"
Revoltt Pro Smartwatch,Smart Watch,14999.0,29999.0,50.0,4.87,139.0,In Stock,"Silver, Gun Metal, Blue, Champagne Gold","Hot deals, Influencer Video, jinnah-sale, pre-order, Revoltt-pro"
Wave Neo Earbuds,Earbuds,3999.0,14999.0,73.0,4.91,103.0,Out of Stock,"Black, Forest Green, Steel Gray, Lilac Purple","10 10 Sale, defence-earbuds, earbuds, Funday Sale, Hot deals, jinnah-sale, Monsoon 500, wave-neo"
Crown Smartwatch,Smart Watch,11999.0,29999.0,60.0,4.89,273.0,In Stock,"Brown Leather, Black Leather, Black Metal, Silver Metal","10 10 Sale, crown, defence bestsellers, defence watches, Hot deals, Influencer Video, jinnah-sale, lifestyle, smart watch, smart watch price in pakistan, smartwatch"
Drip Smartwatch,Smart Watch,7999.0,22499.0,64.0,4.76,17.0,In Stock,"Golden, Jet Black, Gray, Blue",smartwatch
Flex Smartwatch,Smart Watch,7999.0,16000.0,50.0,4.75,12.0,Out of Stock,"Red Gold, Black, Black Gold, Green Gold, Blue",Unknown
Zero Arcade 900,Earbuds,5999.0,17999.0,67.0,4.7,129.0,In Stock,"Black, White","Arcade Series, arcade-900, Clearance, defence-earbuds, earbuds, Gaming Earbuds, Hot deals, Influencer Video, jinnah-sale"
Glory Smartwatch,Smart Watch,7999.0,24999.0,68.0,4.82,71.0,Out of Stock,"Starlight, Gold, Gun Metal","defence bestsellers, defence watches, jinnah-sale, Monsoon 2000, smartwatch, Summer 1000"
Sigma Smartwatch,Smart Watch,7999.0,26000.0,69.0,4.92,24.0,In Stock,"Orange Titanium, Blue Black, Starlight Black, Starlight Titanium, Black Black","defence watches, Hot deals, platinum series products"
Zero Arcade 800,Earbuds,5499.0,17999.0,69.0,4.81,112.0,Out of Stock,"Black, White","Arcade Series, arcade-800, Clearance, defence-earbuds, earbuds, Gaming Earbuds, Hot deals, Influencer Video, jinnah-sale, secret, secret-500"
Rover Pro Earbuds,Earbuds,3999.0,14999.0,73.0,4.81,2912.0,In Stock,"Deep Purple, Matte Black, Calm White, Electric Blue, Serene Blue","10 10 Sale, 11 11 Pair One, delivery, earbuds, Experience at Zero, Hot deals, limited, Monsoon 500, rover-pro, sale"
Flash Earbuds,Earbuds,4499.0,13999.0,68.0,4.87,55.0,Out of Stock,"White, Black, Blue","10 10 Sale, defence bestsellers, earbuds, Funday Sale, Monsoon 500"
Wave Pro Earbuds,Earbuds,4999.0,14999.0,67.0,4.87,2762.0,In Stock,"Flame Orange Black, Ivory Gray, Lilic Gray, Forest Green, Silver Metal","10 10 Sale, defence-earbuds, earbuds, Experience at Zero, Funday Sale, Hot deals, Influencer Video, Monsoon 500, sale, wave-pro"
Z 811 Earbuds,Earbuds,4499.0,14999.0,70.0,4.88,298.0,Out of Stock,"White, Jet Black","10 10 Sale, defence-earbuds, delivery, earbuds, Hot deals, Influencer Video"
Carbon Earbuds,Earbuds,3499.0,14499.0,76.0,4.79,3399.0,In Stock,"Black, Dark Green, Light Gray","10 10 Sale, defence-earbuds, earbuds, Hot deals, jinnah-sale, limited, sale, Summer 500"
